Month,Inflasi
June 2019,3.28%
May 2019,3.32%
April 2019,2.83%
March 2019,2.48%
February 2019,2.57%
January 2019,2.82%
December 2018,3.13%
November 2018,3.23%
October 2018,3.16%
September 2018,2.88%
August 2018,3.20%
July 2018,3.18%
June 2018,3.12%
May 2018,3.23%
April 2018,3.41%
March 2018,3.40%
February 2018,3.18%
January 2018,3.25%
December 2017,3.61%
November 2017,3.30%
October 2017,3.58%
September 2017,3.72%
August 2017,3.82%
July 2017,3.88%
June 2017,4.37%
May 2017,4.33%
April 2017,4.17%
March 2017,3.61%
February 2017,3.83%
January 2017,3.49%
December 2016,3.02%
November 2016,3.58%
October 2016,3.31%
September 2016,3.07%
August 2016,2.79%
July 2016,3.21%
June 2016,3.45%
May 2016,3.33%
April 2016,3.60%
March 2016,4.45%
February 2016,4.42%
January 2016,4.14%
December 2015,3.35%
November 2015,4.89%
October 2015,6.25%
September 2015,6.83%
August 2015,7.18%
July 2015,7.26%
June 2015,7.26%
May 2015,7.15%
April 2015,6.79%
March 2015,6.38%
February 2015,6.29%
January 2015,6.96%
December 2014,8.36%
November 2014,6.23%
October 2014,4.83%
September 2014,4.53%
August 2014,3.99%
July 2014,4.53%
June 2014,6.70%
May 2014,7.32%
April 2014,7.25%
March 2014,7.32%
February 2014,7.75%
January 2014,8.22%
December 2013,8.38%
November 2013,8.37%
October 2013,8.32%
September 2013,8.40%
August 2013,8.79%
July 2013,8.61%
June 2013,5.90%
May 2013,5.47%
April 2013,5.57%
March 2013,5.90%
February 2013,5.31%
January 2013,4.57%
December 2012,4.30%
November 2012,4.32%
October 2012,4.61%
September 2012,4.31%
August 2012,4.58%
July 2012,4.56%
June 2012,4.53%
May 2012,4.45%
April 2012,4.50%
March 2012,3.97%
February 2012,3.56%
January 2012,3.65%
December 2011,3.79%
November 2011,4.15%
October 2011,4.42%
September 2011,4.61%
August 2011,4.79%
July 2011,4.61%
June 2011,5.54%
May 2011,5.98%
April 2011,6.16%
March 2011,6.65%
February 2011,6.84%
January 2011,7.02%
December 2010,6.96%
November 2010,6.33%
October 2010,5.67%
September 2010,5.80%
August 2010,6.44%
July 2010,6.22%
June 2010,5.05%
May 2010,4.16%
April 2010,3.91%
March 2010,3.43%
February 2010,3.81%
January 2010,3.72%
December 2009,2.78%
November 2009,2.41%
October 2009,2.57%
September 2009,2.83%
August 2009,2.75%
July 2009,2.71%
June 2009,3.65%
May 2009,6.04%
April 2009,7.31%
March 2009,7.92%
February 2009,8.60%
January 2009,9.17%
December 2008,11.06%
November 2008,11.68%
October 2008,11.77%
September 2008,12.14%
August 2008,11.85%
July 2008,11.90%
June 2008,11.03%
May 2008,10.38%
April 2008,8.96%
March 2008,8.17%
February 2008,7.40%
January 2008,7.36%
December 2007,6.59%
November 2007,6.71%
October 2007,6.88%
September 2007,6.95%
August 2007,6.51%
July 2007,6.06%
June 2007,5.77%
May 2007,6.01%
April 2007,6.29%
March 2007,6.52%
February 2007,6.30%
January 2007,6.26%
December 2006,6.60%
November 2006,5.27%
October 2006,6.29%
September 2006,14.55%
August 2006,14.90%
July 2006,15.15%
June 2006,15.53%
May 2006,15.60%
April 2006,15.40%
March 2006,15.74%
February 2006,17.92%
January 2006,17.03%
December 2005,17.11%
November 2005,18.38%
October 2005,17.89%
September 2005,9.06%
August 2005,8.33%
July 2005,7.84%
June 2005,7.42%
May 2005,7.40%
April 2005,8.12%
March 2005,8.81%
February 2005,7.15%
January 2005,7.32%
December 2004,6.40%
November 2004,6.18%
October 2004,6.22%
September 2004,6.27%
August 2004,6.67%
July 2004,7.20%
June 2004,6.83%
May 2004,6.47%
April 2004,5.92%
March 2004,5.11%
February 2004,4.60%
January 2004,4.82%
December 2003,5.16%
November 2003,5.53%
October 2003,6.48%
September 2003,6.33%
August 2003,6.51%
July 2003,6.27%
June 2003,6.98%
May 2003,7.15%
April 2003,7.62%
March 2003,7.17%
February 2003,7.60%
January 2003,8.68%
December 2002,0.00%
